Station;Date;Metadata;Notes
Tavel;28.02.1762;X;New thermometer
Tavel;31.03.1767;;Data gap between July 1766 – March 1767
Studer;21.05.1781;;Data gap between 16-21 May
Studer;28.02.1783;;
Studer;28.09.1787;;Data gap between 18-28 September
Sutz;31.03.1788;;
Studer;30.09.1805;;
Studer;23.01.1808;;Primary thermometer stopped reporting for a few days, a third reading is given instead
Studer;06.11.1809;X;New thermometer
Studer;03.10.1817;;Data gap between 3-10 October
Fueter;31.08.1820;;
Fueter;31.10.1824;;Change of reporting style (2nd spirit thermometer no longer reported)
Fueter;31.12.1825;;Possible change in observation time/practice in the morning
Trechsel;31.03.1831;;
Trechsel;30.09.1833;;
Trechsel;30.04.1837;;
Trechsel;15.10.1840;;Many gaps in September and in the first half of October
Benoit;30.09.1847;;
Koch;30.06.1857;;
Burgdorf;31.12.1853;;Long gap
Burgdorf;30.06.1861;;
Burgdorf;31.03.1864;;
